State/Territory,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals
Alabama,2020,"79,332","75,336","92,652","70,748","80,519","139,873","107,490","85,347","80,478","80,934","91,839","100,927","984,548"
Alaska,2020,"4,706","5,466","9,939","8,560","8,883","9,060","10,108","9,363","7,897","7,564","8,510","8,896","90,056"
Arizona,2020,"33,224","37,100","82,771","59,986","51,098","74,055","60,330","54,095","51,287","52,521","54,444","54,547","610,911"
Arkansas,2020,"19,126","21,445","31,651","30,575","25,917","30,792","27,647","23,980","24,043","27,177","30,770","31,618","293,123"
California,2020,"96,567","95,430","164,497","122,999","110,823","158,349","149,685","145,797","139,313","151,359","130,793","135,442","1,465,612"
Colorado,2020,"42,133","40,549","77,305","52,249","49,967","66,038","59,666","57,388","54,479","59,132","61,362","60,239","620,268"
Connecticut,2020,"15,695","16,851","23,103","12,986","10,935","18,215","19,494","17,534","20,091","21,481","21,498","21,344","197,883"
Delaware,2020,"4,482","4,321","8,123","5,701","4,858","8,225","6,935","6,367","6,381","7,430","7,568","6,666","70,391"
District of Columbia,2020,666,551,692,552,538,897,898,"1,541","1,469","1,507","1,066","1,108","10,377"
Florida,2020,"110,019","116,238","192,234","128,670","115,815","210,415","190,975","167,138","154,982","175,783","176,987","172,948","1,739,256"
Georgia,2020,"52,557","54,250","84,601","52,299","63,658","106,541","96,979","75,656","72,354","77,979","80,510","86,651","817,384"
Guam,2020,229,245,271,222,334,391,385,256,254,354,345,286,"3,286"
Hawaii,2020,"1,182","1,264","1,843","1,818","1,494","1,660","1,841","1,623","1,536","2,113","1,722","2,006","18,096"
Idaho,2020,"16,541","18,476","30,989","21,747","21,863","28,744","23,392","19,797","22,515","24,014","25,663","27,543","253,741"
Illinois,2020,"612,411","620,067","645,109","632,564","661,470","706,404","714,424","587,224","421,030","473,595","550,784","829,983","6,625,082"
Indiana,2020,"80,283","85,107","129,016","88,276","92,156","141,947","176,861","206,454","203,253","227,056","242,048","263,130","1,672,457"
Iowa,2020,"22,600","20,889","24,652","26,108","17,359","24,450","19,035","17,660","19,871","22,738","24,215","31,037","239,577"
Kansas,2020,"15,578","17,535","29,816","18,994","20,044","22,817","20,532","18,687","17,660","19,430","24,622","23,874","225,715"
Kentucky,2020,"367,301","398,247","235,305","205,536","394,969","395,188","292,534","39,157","36,139","181,425","377,139","407,522","2,922,940"
Louisiana,2020,"23,686","24,696","42,015","31,559","32,565","44,903","42,103","32,594","33,496","35,224","43,007","44,689","385,848"
Maine,2020,"7,400","7,966","14,627","11,589","10,674","12,090","10,688","10,576","12,747","14,836","12,310","11,646","125,503"
Mariana Islands,2020,26,15,5,9,13,17,21,16,30,28,13,29,193
Maryland,2020,"13,961","15,005","29,414","20,963","18,282","25,932","26,326","27,273","30,948","33,842","31,332","29,285","273,278"
Massachusetts,2020,"18,235","18,525","23,579","7,934","16,371","24,165","23,816","24,176","26,145","27,772","27,378","24,487","238,096"
Michigan,2020,"47,110","47,557","107,492","53,914","78,813","110,604","109,466","102,703","101,789","108,742","105,882","94,439","974,072"
Minnesota,2020,"56,561","61,603","96,654","75,099","70,553","86,100","79,160","83,801","86,830","95,792","84,754","81,484","876,907"
Mississippi,2020,"20,420","24,788","33,583","29,581","29,067","36,894","35,159","31,482","25,757","27,815","34,182","38,101","328,728"
Missouri,2020,"43,596","48,705","76,262","58,011","57,221","67,609","60,576","53,388","52,222","58,729","65,193","66,672","641,512"
Montana,2020,"9,499","10,448","16,885","14,690","14,809","16,018","13,741","13,882","14,808","15,414","15,410","17,091","155,604"
Nebraska,2020,"7,021","6,616","11,154","7,517","5,502","9,080","8,913","8,606","9,145","9,068","10,926","10,963","93,548"
Nevada,2020,"11,074","13,069","22,236","18,621","17,987","24,146","21,769","19,831","16,097","18,838","18,343","17,338","202,011"
New Hampshire,2020,"10,856","10,549","22,466","14,935","12,817","16,371","13,743","12,934","13,429","15,340","16,772","14,450","160,212"
New Jersey,2020,"8,313","8,548","10,922","9,072","9,681","13,578","14,414","16,954","20,811","21,495","22,951","21,162","156,739"
New Mexico,2020,"13,095","15,076","24,571","13,216","17,442","20,850","17,525","16,672","15,923","16,739","15,706","19,437","186,815"
New York,2020,"32,390","31,863","59,787","27,035","26,764","52,252","44,795","42,443","45,684","50,434","49,623","44,870","463,070"
North Carolina,2020,"53,819","52,252","83,077","67,465","61,155","90,593","82,831","77,846","74,810","81,490","83,270","81,676","808,608"
North Dakota,2020,"4,866","5,498","9,136","6,803","6,179","7,747","6,731","7,060","7,362","8,115","7,883","8,085","77,380"
Ohio,2020,"55,784","63,156","114,086","68,812","69,739","97,568","86,125","80,387","76,519","85,170","94,205","85,200","891,551"
Oklahoma,2020,"31,908","34,408","50,194","42,054","36,214","44,095","38,922","34,218","34,288","35,083","43,560","45,342","424,944"
Oregon,2020,"31,752","33,430","59,115","44,816","41,224","47,918","41,314","40,503","40,282","44,350","44,818","46,574","469,522"
Pennsylvania,2020,"88,224","93,240","125,013","76,134","87,752","151,738","142,966","131,205","134,626","145,680","149,401","126,942","1,325,979"
Puerto Rico,2020,"1,911","1,819",862,97,"1,524","3,533","2,908","3,152","3,227","4,595","3,604","4,439","27,232"
Rhode Island,2020,"2,701","2,597","6,169","3,988","3,232","5,332","4,303","4,235","4,666","5,178","4,966","4,002","47,367"
South Carolina,2020,"30,365","36,085","50,953","39,327","42,137","55,636","46,905","41,169","41,395","47,060","50,441","49,457","481,473"
South Dakota,2020,"7,002","7,962","11,332","8,487","7,379","9,844","8,612","9,280","9,707","11,563","12,543","11,737","103,711"
Tennessee,2020,"53,382","57,867","88,458","77,829","95,314","103,807","99,943","77,894","73,612","79,718","86,872","90,064","894,696"
Texas,2020,"129,176","142,928","274,211","197,343","179,192","227,232","213,969","188,091","178,136","192,162","197,225","205,616","2,119,665"
Utah,2020,"80,856","83,113","101,382","96,612","89,255","96,050","100,294","131,552","114,600","119,117","105,024","98,918","1,117,855"
Vermont,2020,"3,052","3,642","7,023","5,618","4,973","4,920","4,466","4,345","4,645","5,214","4,957","5,110","52,855"
Virgin Islands,2020,149,71,122,49,34,150,260,62,92,222,217,211,"1,428"
Virginia,2020,"68,420","67,257","83,675","64,835","58,898","84,124","71,082","62,251","56,930","67,233","68,774","70,034","753,479"
Washington,2020,"49,714","48,418","75,529","57,202","53,922","73,517","71,472","66,713","67,228","71,759","72,267","73,730","707,741"
West Virginia,2020,"17,974","20,942","26,346","22,429","21,549","24,389","22,194","19,728","19,251","21,199","25,147","24,557","241,148"
Wisconsin,2020,"38,349","41,799","77,811","55,375","49,535","68,738","59,871","65,771","68,257","72,837","71,736","61,539","670,079"
Wyoming,2020,"4,984","5,500","8,847","8,566","6,272","7,901","7,598","7,370","7,427","7,464","9,719","9,736","81,648"
Alabama,2019,"44,989","46,203","51,923","41,146","43,908","42,898","51,757","69,377","56,872","63,254","77,657","100,100","690,084"
Alaska,2019,"4,582","5,233","7,136","6,505","6,376","5,557","5,298","6,796","6,106","8,281","7,213","7,840","76,923"
Arizona,2019,"29,039","32,776","37,340","30,222","28,950","26,746","26,325","33,851","29,307","28,833","31,352","38,171","372,912"
Arkansas,2019,"17,258","20,289","22,246","15,812","15,317","13,956","13,684","18,303","16,285","19,303","23,192","25,699","221,344"
California,2019,"98,502","96,970","123,056","114,466","111,816","115,987","89,532","99,146","95,540","96,252","92,765","106,600","1,240,632"
Colorado,2019,"38,491","40,467","46,915","39,433","36,814","34,773","33,812","38,755","35,333","37,564","39,682","47,496","469,535"
Connecticut,2019,"16,324","15,040","18,362","15,726","14,737","14,041","13,362","13,326","12,365","12,574","13,789","13,289","172,935"
Delaware,2019,"4,119","3,682","4,985","3,807","3,694","3,204","2,873","3,547","3,356","3,982","4,258","4,920","46,427"
District of Columbia,2019,360,364,417,409,417,305,375,386,610,933,595,755,"5,926"
Florida,2019,"97,486","101,991","114,001","93,693","88,204","85,730","84,024","107,318","89,815","97,214","107,274","128,789","1,195,539"
Georgia,2019,"44,839","48,900","56,804","40,952","37,444","34,910","34,787","45,508","39,794","43,417","48,604","63,154","539,113"
Guam,2019,181,178,195,150,163,181,200,248,209,217,181,294,"2,397"
Hawaii,2019,"1,068","1,032","1,129","1,212","1,105",857,"1,045","1,025",969,"1,102",923,"1,199","12,666"
Idaho,2019,"13,634","16,965","18,314","16,004","17,565","17,541","19,637","16,411","15,818","19,392","17,385","20,609","209,275"
Illinois,2019,"331,325","190,886","376,018","405,464","381,771","373,166","439,458","491,715","483,162","478,329","450,084","548,192","4,949,570"
Indiana,2019,"160,140","71,892","98,597","106,096","292,587","273,660","61,139","74,022","72,951","77,713","80,002","81,766","1,450,565"
Iowa,2019,"16,067","15,181","20,108","15,144","12,850","10,933","11,507","11,760","12,081","16,605","20,819","19,747","182,802"
Kansas,2019,"13,767","15,224","17,353","11,933","11,538","10,622","10,662","13,227","11,473","13,324","17,643","20,244","167,010"
Kentucky,2019,"308,573","328,572","379,268","381,411","332,076","369,622","319,270","315,348","286,064","303,650","391,747","405,291","4,120,892"
Louisiana,2019,"21,945","24,345","25,970","19,650","19,274","17,509","17,385","23,780","23,463","24,893","28,692","35,358","282,264"
Maine,2019,"6,682","6,794","8,766","7,375","6,552","5,809","5,437","7,686","8,510","9,912","8,297","8,806","90,626"
Mariana Islands,2019,25,19,18,15,17,18,13,9,16,16,13,10,189
Maryland,2019,"11,976","12,190","15,083","12,537","10,904","9,839","9,891","11,823","11,386","13,720","14,459","15,005","148,813"
Massachusetts,2019,"19,812","18,604","20,670","17,738","18,007","16,256","15,272","19,189","16,991","18,059","16,649","15,069","212,316"
Michigan,2019,"35,884","39,073","51,698","40,570","35,352","32,369","31,607","39,967","40,925","44,078","51,439","49,209","492,171"
Minnesota,2019,"53,145","50,984","75,386","72,720","56,564","45,667","42,454","53,571","54,733","62,920","55,511","58,701","682,356"
Mississippi,2019,"17,416","21,681","23,090","15,894","15,190","13,809","13,918","21,951","16,974","19,167","26,494","32,804","238,388"
Missouri,2019,"36,657","42,502","51,487","35,825","34,114","32,674","31,627","42,413","36,924","44,498","51,008","58,129","497,858"
Montana,2019,"7,695","8,224","11,143","9,419","8,603","8,276","8,110","9,931","10,091","11,496","10,295","12,540","115,823"
Nebraska,2019,"6,635","5,759","6,878","5,267","4,495","4,411","4,044","5,396","5,065","5,807","6,208","8,271","68,236"
Nevada,2019,"10,920","11,643","13,856","10,524","9,769","9,248","8,635","10,782","9,285","10,464","10,424","12,762","128,312"
New Hampshire,2019,"9,156","10,213","11,684","9,389","8,193","8,018","7,439","9,617","8,940","9,754","9,538","10,232","112,173"
New Jersey,2019,"6,892","7,030","8,410","8,173","7,693","7,208","7,049","7,721","7,372","7,327","7,955","8,427","91,257"
New Mexico,2019,"11,571","14,727","16,850","12,483","11,856","11,056","11,128","13,906","11,850","12,265","13,508","15,629","156,829"
New York,2019,"29,388","28,043","35,004","31,154","26,731","23,636","22,471","26,227","32,332","33,982","33,832","32,574","355,374"
North Carolina,2019,"46,230","49,154","53,896","42,651","38,637","34,768","36,694","44,438","38,305","42,903","48,107","54,582","530,365"
North Dakota,2019,"4,459","4,420","5,990","5,135","4,312","3,914","3,794","5,228","5,455","5,886","5,738","6,058","60,389"
Ohio,2019,"49,856","57,518","70,826","53,819","43,850","42,122","39,206","50,963","44,767","50,834","65,092","69,642","638,495"
Oklahoma,2019,"28,793","32,166","35,704","26,528","24,627","23,701","22,754","29,350","25,203","28,794","40,823","41,600","360,043"
Oregon,2019,"28,668","28,726","35,949","30,299","26,970","25,185","24,493","29,328","28,008","30,395","32,305","37,374","357,700"
Pennsylvania,2019,"77,420","84,567","105,892","79,853","72,244","66,423","66,052","83,346","77,630","86,066","92,011","96,382","987,886"
Puerto Rico,2019,"2,368","2,406","2,554","2,427","2,653","2,946","2,317","2,486","1,878","2,189","2,273","2,138","28,635"
Rhode Island,2019,"2,093","2,105","2,640","2,175","1,813","1,609","1,561","1,895","1,842","2,050","2,149","2,406","24,338"
South Carolina,2019,"23,546","29,811","33,312","24,607","24,977","23,186","21,886","27,354","23,280","26,707","31,593","37,962","328,221"
South Dakota,2019,"6,803","6,992","8,174","6,581","5,792","5,566","5,323","6,971","6,932","8,783","8,510","8,999","85,426"
Tennessee,2019,"58,167","62,785","66,433","48,624","44,913","44,802","43,647","46,533","40,468","45,015","58,890","75,036","635,313"
Texas,2019,"119,902","135,931","141,056","106,112","107,763","101,762","91,183","133,647","121,718","121,299","140,598","166,241","1,487,212"
Utah,2019,"25,082","27,648","82,398","77,263","77,058","69,438","76,002","74,699","73,084","76,361","76,354","87,883","823,270"
Vermont,2019,"2,417","3,172","4,054","3,236","2,659","2,269","2,183","2,936","2,991","3,348","3,094","3,484","35,843"
Virgin Islands,2019,127,120,140,114,91,109,75,149,117,150,242,110,"1,544"
Virginia,2019,"37,857","41,532","48,527","35,052","30,515","33,543","32,513","41,457","37,059","40,490","57,662","76,559","512,766"
Washington,2019,"56,051","47,674","61,812","53,377","53,125","83,436","37,439","40,144","38,130","42,984","40,764","52,234","607,170"
West Virginia,2019,"15,320","18,810","21,859","15,583","13,173","12,841","12,289","16,501","17,740","18,239","20,851","22,990","206,196"
Wisconsin,2019,"34,545","34,612","47,671","38,561","30,307","28,507","25,170","35,146","36,278","39,395","43,909","41,584","435,685"
Wyoming,2019,"4,075","4,842","5,880","4,821","4,793","4,447","4,469","4,754","5,176","5,067","5,411","7,556","61,291"
Alabama,2018,"38,477","45,171","50,610","34,915","33,193","32,572","32,572","37,227","32,706","37,123","45,345","54,383","474,294"
Alaska,2018,"4,429","5,392","7,800","7,367","7,548","6,330","5,714","6,818","5,699","7,768","6,645","7,251","78,761"
Arizona,2018,"28,627","36,281","41,551","31,658","28,285","28,041","26,359","34,149","30,667","25,560","30,385","36,275","377,838"
Arkansas,2018,"17,483","24,266","24,492","18,240","17,667","18,809","19,399","20,502","17,072","19,762","24,475","26,272","248,439"
California,2018,"119,910","107,649","136,228","121,478","104,498","99,683","94,672","103,019","91,975","101,623","106,380","110,017","1,297,132"
Colorado,2018,"41,989","47,221","61,839","47,462","41,583","38,395","37,788","40,922","35,347","37,586","44,094","50,544","524,770"
Connecticut,2018,"13,775","15,617","18,091","15,269","14,409","14,440","13,650","14,338","12,754","14,477","14,751","16,119","177,690"
Delaware,2018,"3,684","4,651","6,298","4,988","3,674","3,211","2,840","2,914","2,843","3,418","4,178","5,024","47,723"
District of Columbia,2018,283,217,381,321,289,259,246,329,203,203,290,223,"3,244"
Florida,2018,"98,243","119,561","137,997","102,426","95,481","88,991","82,909","89,711","78,804","82,628","105,975","120,419","1,203,145"
Georgia,2018,"45,591","57,838","67,791","43,671","39,528","35,963","34,244","40,046","36,097","40,579","49,784","58,400","549,532"
Guam,2018,135,146,146,155,156,146,145,133,120,180,191,205,"1,858"
Hawaii,2018,"1,185","1,074","1,420","1,393","1,187","1,170","1,057","1,129",975,"1,204","1,188","1,106","14,088"
Idaho,2018,"15,060","20,359","24,342","16,974","18,243","15,401","14,478","14,312","15,566","16,855","15,793","19,937","207,320"
Illinois,2018,"170,007","185,288","271,714","238,774","233,963","225,006","198,971","242,864","228,695","237,224","296,910","302,031","2,831,447"
Indiana,2018,"83,769","81,904","121,376","78,367","78,143","74,423","60,457","60,712","51,787","59,386","69,171","76,653","896,148"
Iowa,2018,"19,745","17,387","21,697","17,457","13,766","10,904","10,329","14,306","13,861","15,518","17,001","17,188","189,159"
Kansas,2018,"13,782","18,016","18,772","13,184","11,062","11,501","11,364","12,690","11,429","13,063","17,477","19,707","172,047"
Kentucky,2018,"402,376","417,418","421,247","409,485","395,487","411,606","393,583","411,800","409,385","413,568","422,343","404,143","4,912,441"
Louisiana,2018,"20,744","26,449","31,519","22,491","20,265","22,339","20,229","24,273","25,058","24,412","32,383","37,030","307,192"
Maine,2018,"5,850","7,816","10,684","8,745","6,847","6,156","5,968","6,951","7,926","9,299","7,769","9,349","93,360"
Mariana Islands,2018,10,20,25,22,13,17,15,13,8,14,12,10,179
Maryland,2018,"12,564","13,245","17,841","14,105","11,990","10,333","10,020","11,281","10,237","11,919","13,684","14,251","151,470"
Massachusetts,2018,"16,120","16,463","22,326","17,983","18,574","15,930","14,275","17,975","16,320","17,969","19,392","17,968","211,295"
Michigan,2018,"35,895","44,706","59,589","44,190","35,563","33,308","32,443","36,381","34,781","40,370","47,460","45,271","489,957"
Minnesota,2018,"50,478","49,636","72,268","64,410","47,533","38,204","36,279","41,548","43,339","54,993","48,884","56,506","604,078"
Mississippi,2018,"16,642","25,182","27,387","17,470","15,999","15,858","14,206","20,545","17,683","18,379","26,230","31,697","247,278"
Missouri,2018,"35,204","49,381","58,076","38,859","31,607","32,616","30,157","37,674","35,005","41,162","50,096","56,347","496,184"
Montana,2018,"7,448","9,983","13,402","9,795","8,952","8,746","7,794","9,309","9,770","10,772","10,113","11,523","117,607"
Nebraska,2018,"6,645","7,585","9,048","6,643","5,165","4,418","4,220","4,456","4,763","6,358","7,306","7,870","74,477"
Nevada,2018,"9,952","12,407","14,322","11,470","10,327","9,442","8,903","9,350","8,486","8,971","10,787","13,017","127,434"
New Hampshire,2018,"8,758","11,486","14,184","11,372","9,875","8,511","8,029","9,005","9,009","9,364","10,049","11,247","120,889"
New Jersey,2018,"8,010","8,459","10,195","8,958","8,037","7,413","6,857","7,216","6,138","6,718","7,339","7,784","93,124"
New Mexico,2018,"11,783","15,891","18,357","12,859","11,432","11,259","10,485","12,038","11,160","11,295","14,338","15,956","156,853"
New York,2018,"26,079","31,129","37,050","33,326","25,621","23,921","22,405","27,145","29,374","32,273","33,969","36,322","358,614"
North Carolina,2018,"43,439","53,082","61,950","47,770","43,211","37,350","35,244","39,800","29,572","39,478","47,992","51,028","529,916"
North Dakota,2018,"4,388","5,116","6,803","5,793","4,539","4,124","3,791","4,700","5,226","6,188","5,861","5,805","62,334"
Ohio,2018,"52,079","73,240","91,247","65,456","51,734","47,756","45,689","50,289","45,698","51,806","69,894","72,587","717,475"
Oklahoma,2018,"23,460","31,763","35,317","25,345","21,697","22,471","19,932","24,190","22,160","27,641","37,716","40,599","332,291"
Oregon,2018,"27,037","32,397","41,616","32,494","28,305","26,685","23,171","25,648","26,644","27,591","31,878","36,216","359,682"
Pennsylvania,2018,"78,428","98,075","123,031","91,401","75,296","71,106","66,391","74,944","70,420","80,946","93,168","98,737","1,021,943"
Puerto Rico,2018,"2,022","2,076","2,072","2,224","2,616","2,522","2,268","2,816","2,490","2,760","3,014","2,395","29,275"
Rhode Island,2018,"1,882","2,646","3,528","2,332","1,887","1,685","1,472","1,733","1,621","1,914","2,134","2,196","25,030"
